City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Bata,GQ,1.8639,9.7658,77.29,88,65,4.7,light rain
70,Jamestown,US,42.097,-79.2353,68.02,97,90,5.01,overcast clouds
71,Sorong,ID,-0.8833,131.25,77.52,87,100,10.4,overcast clouds
72,Puerto Carreno,CO,6.189,-67.4859,87.46,63,41,5.79,scattered clouds
73,Poum,NC,-20.2333,164.0167,75.29,84,0,8.88,clear sky
74,Gazli,UZ,40.1333,63.45,51.71,39,0,9.66,clear sky
75,Poya,NC,-21.35,165.15,80.4,67,2,7.25,clear sky
76,Sechura,PE,-5.5569,-80.8222,72.3,61,19,20.11,few clouds
77,Hobart,AU,-42.8794,147.3294,55.11,96,75,4.61,broken clouds
78,Sobolevo,RU,54.4299,31.8996,44.15,82,100,6.04,moderate rain
79,Dongsheng,CN,39.8161,109.9776,46.09,35,100,16.62,light rain
80,Havelock,US,34.8791,-76.9013,79.03,65,48,5.99,scattered clouds
81,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,83,75,12.66,moderate rain
82,Carnarvon,AU,-24.8667,113.6333,59.07,82,0,9.22,clear sky
83,Avarua,CK,-21.2078,-159.775,78.85,65,75,9.22,broken clouds
84,Saint-Augustin,CA,51.226,-58.6502,42.06,92,100,7.38,overcast clouds
85,Tasiilaq,GL,65.6145,-37.6368,37.56,54,0,5.7,clear sky
86,Santa Maria,BR,-29.6842,-53.8069,67.3,77,75,2.3,light rain
87,Hithadhoo,MV,-0.6,73.0833,82.96,77,77,19.06,broken clouds
88,Paracuru,BR,-3.41,-39.0306,82.42,82,1,13.53,clear sky
89,Salekhard,RU,66.53,66.6019,28.71,79,95,8.3,overcast clouds
90,Adrar,MR,20.5022,-10.0711,93.31,11,8,4.32,clear sky
91,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,90,16.11,light intensity drizzle
92,Itacare,BR,-14.2775,-38.9967,80.49,86,28,7.02,scattered clouds
93,Inuvik,CA,68.3499,-133.7218,34.81,93,75,13.8,mist
94,Atar,MR,20.5169,-13.0499,94.44,9,28,8.5,scattered clouds
95,Chicama,PE,-7.8447,-79.1469,63.14,68,45,9.46,scattered clouds
96,Nome,US,64.5011,-165.4064,34.16,60,1,9.22,clear sky
97,Otautau,NZ,-46.15,168.0,47.44,86,100,4.88,overcast clouds
98,Severo-Kurilsk,RU,50.6789,156.125,47.73,77,78,32.19,broken clouds
99,Havoysund,NO,70.9963,24.6622,52.68,72,100,35.66,overcast clouds
100,Tiksi,RU,71.6872,128.8694,24.3,88,98,14.43,overcast clouds
101,Matara,LK,5.9485,80.5353,77.14,89,88,7.38,overcast clouds
102,Port Alfred,ZA,-33.5906,26.891,55.13,77,29,7.52,light rain
103,Nihommatsu,JP,37.5833,140.4333,64.56,79,3,3.89,clear sky
104,Deer Lake,CA,49.1667,-57.4316,49.86,93,75,0.0,broken clouds
105,Georgetown,MY,5.4112,100.3354,80.89,92,20,0.0,few clouds
106,Port Shepstone,ZA,-30.7414,30.455,60.35,66,100,2.17,overcast clouds
107,Puerto Ayora,EC,-0.7393,-90.3518,76.96,79,31,11.48,scattered clouds
108,Port-Cartier,CA,50.0334,-66.8654,52.02,75,99,0.65,overcast clouds
109,East London,ZA,-33.0153,27.9116,57.22,71,44,5.23,light rain
110,Damaturu,NG,11.747,11.9608,83.68,27,0,5.66,clear sky
111,Margate,GB,51.3813,1.3862,55.04,83,0,1.99,clear sky
112,Vostok,RU,46.4856,135.8833,43.11,96,100,3.56,overcast clouds
113,Alihe,CN,50.5667,123.7167,31.84,81,97,2.91,overcast clouds
114,Hobyo,SO,5.3505,48.5268,78.28,88,43,18.07,scattered clouds
115,Waingapu,ID,-9.6567,120.2641,74.68,81,64,5.06,broken clouds
116,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,40,11.5,scattered clouds
117,Broome,US,42.2506,-75.833,68.02,79,90,3.0,overcast clouds
118,Upernavik,GL,72.7868,-56.1549,30.56,88,99,4.68,overcast clouds
119,Ponta Do Sol,PT,32.6667,-17.1,75.0,78,100,5.73,overcast clouds
120,New Norfolk,AU,-42.7826,147.0587,54.75,85,63,2.55,broken clouds
121,Pochutla,MX,15.7432,-96.4661,91.22,68,35,5.28,scattered clouds
122,Kilindoni,TZ,-7.9139,39.6668,76.39,72,60,9.42,broken clouds
123,Tromso,NO,69.6496,18.957,57.85,54,75,13.8,broken clouds
124,Aksu,CN,41.1231,80.2644,50.11,66,100,0.98,light rain
125,Abu Zabad,SD,12.35,29.25,79.7,31,53,7.16,broken clouds
126,Ginda,IN,30.6945,78.4932,59.5,91,0,4.23,clear sky
127,Toila,EE,59.4236,27.5025,48.43,81,74,18.28,broken clouds
128,Norrtalje,SE,59.758,18.705,58.01,78,100,19.95,overcast clouds
129,Lompoc,US,34.6391,-120.4579,95.14,51,1,13.8,clear sky
130,Castro,BR,-24.7911,-50.0119,62.67,99,100,3.24,moderate rain
131,Lebu,CL,-37.6167,-73.65,50.59,74,0,20.89,clear sky
132,Nikolskoye,RU,59.7035,30.7861,46.4,91,0,6.96,clear sky
133,Noumea,NC,-22.2763,166.4572,80.01,99,1,6.31,clear sky
134,Creel,MX,27.75,-107.6333,64.9,53,99,12.57,overcast clouds
135,Micheweni,TZ,-4.9667,39.8333,75.13,78,56,9.28,broken clouds
136,Pangnirtung,CA,66.1451,-65.7125,37.29,72,85,1.81,overcast clouds
137,Tongchuan,CN,35.0806,109.0897,59.52,91,100,5.37,light rain
138,Talnakh,RU,69.4865,88.3972,17.33,97,97,0.58,overcast clouds
139,Pingliang,CN,35.5392,106.6861,49.15,88,100,11.63,light rain
140,Porto Novo,BJ,6.4965,2.6036,82.22,88,48,4.79,light rain
141,San Carlos De Bariloche,AR,-41.1456,-71.3082,49.75,40,40,20.71,scattered clouds
142,Baghdad,IQ,33.3406,44.4009,78.71,38,0,6.91,clear sky
143,Liberty,US,31.8335,-81.5004,86.32,61,1,0.0,clear sky
144,Pimentel,PE,-6.8367,-79.9342,68.29,64,0,24.16,clear sky
145,Manokwari,ID,-0.8667,134.0833,80.67,75,100,6.44,overcast clouds
146,Khilok,RU,51.3674,110.4676,32.2,88,99,7.23,overcast clouds
147,Mountain Home,US,43.133,-115.6912,79.93,15,1,9.22,clear sky
148,Saint-Louis,SN,16.3333,-15.0,91.04,36,64,8.72,broken clouds
