City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
425,Cozumel,MX,87.78,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
426,Mogadishu,SO,78.19,scattered clouds,2.0371,45.3438,Hotel Juba
428,Ratnagiri,IN,79.11,overcast clouds,16.9833,73.3,Hotel Landmark
437,Bandarbeyla,SO,78.78,broken clouds,9.4942,50.8122,JABIR HOTEL
438,Kailua,US,84.18,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
439,Cobija,BO,88.7,broken clouds,-11.0267,-68.7692,Hotel Obelisco
448,Kulhudhuffushi,MV,82.08,broken clouds,6.6221,73.07,Hondaafushi Island Resort
450,Tutoia,BR,80.2,scattered clouds,-2.7619,-42.2744,Pousada Guará's
458,Kanniyakumari,IN,79.45,overcast clouds,8.0833,77.5667,Sparsa
463,Salinopolis,BR,81.52,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
468,Mayo,US,84.22,clear sky,38.8876,-76.5119,Resorts Resource Group International
474,Ixtapa,MX,88.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
481,Alyangula,AU,80.47,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
487,Kokoda,PG,79.25,broken clouds,-8.8785,147.7407,Daito Guest House
492,Virginia Beach,US,84.25,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
501,Champerico,GT,88.34,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
511,Eydhafushi,MV,82.02,scattered clouds,5.1033,73.0708,Soneva Fushi
513,Dhidhdhoo,MV,81.99,broken clouds,6.8833,73.1,Dhidhoo beach
514,Umm Lajj,SA,81.64,clear sky,25.0213,37.2685,Moon light Furnished Units
517,Lengshuitan,CN,77.56,light rain,26.4111,111.5956,Jialong Hotel
525,Ati,TD,88.3,broken clouds,13.2154,18.3353,
529,Axim,GH,77.56,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
532,Sinnamary,GF,80.15,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
538,Buchanan,LR,78.1,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
551,Shush,IR,87.93,clear sky,32.1942,48.2436,Mosque Zaman (AS) Cultural promised -Kanvn
557,Kieta,PG,83.39,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
558,Minab,IR,83.7,overcast clouds,27.1467,57.0801,Bam campground
560,Ascension,US,86.27,overcast clouds,30.2169,-90.9001,Highland Inn
563,Ojinaga,MX,88.57,clear sky,29.5667,-104.4167,Suites Las Palmas
564,Sao Paulo De Olivenca,BR,83.59,light rain,-3.3783,-68.8725,
569,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
572,Katsina,NG,84.31,clear sky,12.9894,7.6006,Katsina Motel
574,Quebradillas,PR,85.96,broken clouds,18.4738,-66.9385,Villa Abby B&B
